web-scraper-order,web-scraper-start-url,containers_url,containers_url-href,superficie,prix,adresse,image_url,image_url-href
"1750583363-1","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrains 220 m2  - Mbao","https://sn.coinafrique.com/annonce/terrains/vente-terrains-220-m2-mbao-2784267","220","35 000 000 CFA","Vente terrains 220 m2  - Mbao","",""
"1750583366-2","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain  150 m² - Tivaouane Peulh","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-tivaouane-peulh-2784586","","15 000 000 CFA","Terrain  150 m² - Tivaouane Peulh","favorite_border 
      
    
            
              
              
            
            
              
               4 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-rufisque-5169028"
"1750583368-3","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Djender","https://sn.coinafrique.com/annonce/terrains/terrain-djender-2784931","90000 m2","12 500 000 CFA","Terrain - Djender","favorite_border 
      
    
            
              
              
            
            
              
               3 
               années","https://sn.coinafrique.com/annonce/terrains/terrain-djender-3568718"
"1750583371-4","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 218m² - Dakar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-218m-dakar-2784986","218","95 000 000 CFA","Vente Terrain 218m² - Dakar","",""
"1750583373-5","https://sn.coinafrique.com/categorie/terrains?page=119","Ventre Terrains - Lac Rose","https://sn.coinafrique.com/annonce/terrains/ventre-terrains-lac-rose-2785037","150 m2","3 000 000 CFA","Ventre Terrains - Lac Rose","",""
"1750583375-6","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m2 - Dakar","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-dakar-2785923","150","40 000 000 CFA","Terrains 150 m2 - Dakar","favorite_border 
      
    
            
              
              
            
            
              
               18 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-a-apix-5358028"
"1750583378-7","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Keur massar","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-2786001","15 m2","15 000 000 CFA","Terrain - Keur massar","favorite_border 
      
    
            
              
              
            
            
              
               4 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-tf-global-a-diamniadio-5338670"
"1750583380-8","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains - Tambacounda","https://sn.coinafrique.com/annonce/terrains/terrains-tambacounda-2786242","300 m2","5 000 000 CFA","Terrains - Tambacounda","favorite_border 
      
    
            
              
              
            
            
              
               2 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-400m-tambacounda-3904726"
"1750583383-9","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 500 m2 - VDN - Mermoz - Sacrécoeur","https://sn.coinafrique.com/annonce/terrains/terrain-500-m2-vdn-mermoz-sacrecoeur-2786332","500","200 000 000 CFA","Terrain 500 m2 - VDN - Mermoz - Sacrécoeur","",""
"1750583385-10","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain commercial  -  Petit Mbao","https://sn.coinafrique.com/annonce/terrains/terrain-commercial-petit-mbao-2786781","400 m2","100 000 000 CFA","Terrain commercial  -  Petit Mbao","",""
"1750583387-11","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 225 m2 - Thiès","https://sn.coinafrique.com/annonce/terrains/terrain-225-m2-thies-2786936","225 m2","2 000 000 CFA","Terrain 225 m2 - Thiès","favorite_border 
      
    
            
              
              
            
            
              
               7 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-colobane-5009588"
"1750583390-12","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 600m² - Mbour","https://sn.coinafrique.com/annonce/terrains/vente-terrain-600m-mbour-2787543","600","13 000 000 CFA","Vente Terrain 600m² - Mbour","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-600m-mbour-2913582"
"1750583392-13","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 200 m² - Mamelles","https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m-mamelles-2787882","200 m2","85 000 000 CFA","Vente Terrain 200 m² - Mamelles","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-200-m-dakar-2350096"
"1750583395-14","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 600 m2 - Mbour","https://sn.coinafrique.com/annonce/terrains/terrain-600-m2-mbour-2788273","600","13 000 000 CFA","Terrain 600 m2 - Mbour","favorite_border 
      
    
            
              
              
            
            
              
               10 
               mois","https://sn.coinafrique.com/annonce/terrains/terrains-600-m2-mbour-4894352"
"1750583397-15","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m²  - Dakar","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-dakar-2788818","150","35 000 000 CFA","Terrains 150 m²  - Dakar","favorite_border 
      
    
            
              
              
            
            
              
               15 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-150m-a-sangalkam-cite-senelec-5377381"
"1750583400-16","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m2 - Bambilor","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-bambilor-2789120","150","3 500 000 CFA","Terrains 150 m2 - Bambilor","favorite_border 
      
    
            
              
              
            
            
              
               3 
               années","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-bambilor-3210989"
"1750583402-17","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 650 m2 - Guédiawaye","https://sn.coinafrique.com/annonce/terrains/terrains-650-m2-guediawaye-2789549","650","120 000 000 CFA","Terrains 650 m2 - Guédiawaye","",""
"1750583404-18","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 200 m2   - Cité biagui Yoff aéroport","https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-cite-biagui-yoff-aeroport-2789610","200 m2","60 000 000 CFA","Terrain 200 m2   - Cité biagui Yoff aéroport","",""
"1750583407-19","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrain","https://sn.coinafrique.com/annonce/terrains/vente-terrain-2790430","300 m2","5 000 000 CFA","Vente terrain","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-tambacounda-3018642"
"1750583409-20","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrain  - Mboro","https://sn.coinafrique.com/annonce/terrains/vente-terrain-mboro-2790836","1200","16 000 000 CFA","Vente terrain  - Mboro","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-mboro-2790836"
"1750583412-21","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains    - Dakar","https://sn.coinafrique.com/annonce/terrains/terrains-dakar-2790965","200 m2","2 000 000 CFA","Terrains    - Dakar","favorite_border 
      
    
            
              
              
            
            
              
               15 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-150m-a-sangalkam-cite-senelec-5377381"
"1750583414-22","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 150 m2 - Jaxaay p","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-jaxaay-p-2791154","150 m2","Prix sur demande","Terrain 150 m2 - Jaxaay p","",""
"1750583417-23","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 225 m2 - Thiès","https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-thies-2791215","225","400 000 CFA","Terrains 225 m2 - Thiès","favorite_border 
      
    
            
              
              
            
            
              
               7 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-colobane-5009588"
"1750583419-24","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains  200 m2 - Comico","https://sn.coinafrique.com/annonce/terrains/terrains-200-m2-comico-2791246","200 m2","Prix sur demande","Terrains  200 m2 - Comico","",""
"1750583421-25","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m²  - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-rufisque-2791259","150","10 000 000 CFA","Terrains 150 m²  - Rufisque","favorite_border 
      
    
            
              
              
            
            
              
               6 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5376137"
"1750583424-26","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m²  - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-rufisque-2791284","150","18 000 000 CFA","Terrains 150 m²  - Rufisque","favorite_border 
      
    
            
              
              
            
            
              
               6 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5376137"
"1750583426-27","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 160 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-160-m2-rufisque-2791298","160","15 000 000 CFA","Terrains 160 m2 - Rufisque","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrain-160m-cite-nouvelle-horizon-4574939"
"1750583429-28","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrains 300m² - Ndiass","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-ndiass-2792031","300","500 000 CFA","Vente Terrains 300m² - Ndiass","favorite_border 
      
    
            
              
              
            
            
              
               2 
               années","https://sn.coinafrique.com/annonce/terrains/terrain-300m-yenne-4161571"
"1750583431-29","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 300m²  - Ndiass","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300m-ndiass-2792037","300","500 000 CFA","Vente Terrain 300m²  - Ndiass","favorite_border 
      
    
            
              
              
            
            
              
               2 
               années","https://sn.coinafrique.com/annonce/terrains/terrain-300m-yenne-4161571"
"1750583434-30","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 20000 m² - Thiès","https://sn.coinafrique.com/annonce/terrains/vente-terrain-20000-m-thies-2792472","20000","180 000 000 CFA","Vente Terrain 20000 m² - Thiès","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-30-hectares-bambilor-2578922"
"1750583436-31","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrain 45Ha - Bargnie","https://sn.coinafrique.com/annonce/terrains/vente-terrain-45ha-bargnie-2792569","45000 m2","25 000 CFA","Vente terrain 45Ha - Bargnie","",""
"1750583438-32","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrain - Sicap keur Massar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-sicap-keur-massar-2793103","150 m2","7 000 000 CFA","Vente terrain - Sicap keur Massar","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-sicap-keur-massar-2793103"
"1750583441-33","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrains - Kounoune","https://sn.coinafrique.com/annonce/terrains/vente-terrains-kounoune-2793436","150 m2","Prix sur demande","Vente Terrains - Kounoune","favorite_border 
      
    
            
              
              
            
            
              
               2 
               mois","https://sn.coinafrique.com/annonce/terrains/terrains-368m-rufisque-5256080"
"1750583443-34","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrains - Popenguine Thioupame 3","https://sn.coinafrique.com/annonce/terrains/vente-terrains-popenguine-thioupame-3-2793524","300 m2","8 000 000 CFA","Vente Terrains - Popenguine Thioupame 3","",""
"1750583446-35","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrains - Popenguine Nord","https://sn.coinafrique.com/annonce/terrains/vente-terrains-popenguine-nord-2793596","600 m2","13 000 000 CFA","Vente Terrains - Popenguine Nord","",""
"1750583448-36","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 400m² - Ngaparou","https://sn.coinafrique.com/annonce/terrains/vente-terrain-400m-ngaparou-2793619","400 m2","24 000 000 CFA","Vente Terrain 400m² - Ngaparou","",""
"1750583450-37","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 1000m² - Synthiane","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1000m-synthiane-2793628","300 m2","3 000 000 CFA","Vente Terrain 1000m² - Synthiane","",""
"1750583453-38","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain - Bambilor","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambilor-2793699","150 m2","2 000 000 CFA","Vente Terrain - Bambilor","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-bambilor-2793699"
"1750583455-39","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrain  - Cayar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-cayar-2793735","375 m2","8 000 000 CFA","Vente terrain  - Cayar","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-cayar-2018408"
"1750583458-40","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 500 m² - Almadies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-500-m-almadies-2793856","500","500 000 000 CFA","Vente Terrain 500 m² - Almadies","favorite_border 
      
    
            
              
              
            
            
              
               2 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-500-m-almadies-4215224"
"1750583460-41","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrains 300m² - Diamniadio","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-diamniadio-2794751","300","7 500 000 CFA","Vente Terrains 300m² - Diamniadio","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-toglou-2293297"
"1750583462-42","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrains - Sebikotane","https://sn.coinafrique.com/annonce/terrains/vente-terrains-sebikotane-2794777","150 m2","5 000 000 CFA","Vente Terrains - Sebikotane","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-m-sebikotane-2989005"
"1750583465-43","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-2795685","","2 500 000 CFA","Vente Terrain - Lac Rose","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrain-150m-tf-lac-rose-4496914"
"1750583467-44","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 300 m² - Dakar Plateau","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-dakar-plateau-2795958","","800 000 000 CFA","Vente Terrain 300 m² - Dakar Plateau","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-dakar-maristes-2921117"
"1750583470-45","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 150m²- Thies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-thies-2796059","150","1 500 000 CFA","Vente Terrain 150m²- Thies","favorite_border 
      
    
            
              
              
            
            
              
               2 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-150m-thies-3908141"
"1750583472-46","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 3900 m2 - Dakar Plateau","https://sn.coinafrique.com/annonce/terrains/terrains-3900-m2-dakar-plateau-2796145","3900","800 000 CFA","Terrains 3900 m2 - Dakar Plateau","",""
"1750583474-47","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains - Mbour - Saly","https://sn.coinafrique.com/annonce/terrains/terrains-mbour-saly-2796839","","Prix sur demande","Terrains - Mbour - Saly","favorite_border 
      
    
            
              
              
            
            
              
               27 
               jours","https://sn.coinafrique.com/annonce/terrains/terrains-300m-saly-5345368"
"1750583477-48","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains -  Keur /  Bambilor","https://sn.coinafrique.com/annonce/terrains/terrains-keur-bambilor-2797028","150 m2","8 000 000 CFA","Terrains -  Keur /  Bambilor","favorite_border 
      
    
            
              
              
            
            
              
               3 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-bambilor-3683624"
"1750583479-49","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Mbour","https://sn.coinafrique.com/annonce/terrains/terrain-mbour-2797301","","Prix sur demande","Terrain - Mbour","favorite_border 
      
    
            
              
              
            
            
              
               11 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-260-m-saly-5368148"
"1750583482-50","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 1116 m² - Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-1116-m-almadies-2797670","1116 m2","900 000 CFA","Terrain 1116 m² - Almadies","",""
"1750583484-51","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain - Keur Massar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-keur-massar-2798085","153 m2","15 000 000 CFA","Vente Terrain - Keur Massar","favorite_border 
      
    
            
              
              
            
            
              
               5 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-5138802"
"1750583486-52","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain - Almadies","https://sn.coinafrique.com/annonce/terrains/vente-terrain-almadies-2798463","5000 m2","1 350 000 CFA","Vente Terrain - Almadies","favorite_border 
      
    
            
              
              
            
            
              
               3 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-hangars-des-pelerins-5200777"
"1750583489-53","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrain - Cité Mbakiyou Faye","https://sn.coinafrique.com/annonce/terrains/vente-terrain-cite-mbakiyou-faye-2798465","200 m2","85 000 000 CFA","Vente terrain - Cité Mbakiyou Faye","",""
"1750583491-54","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 300 m² - Diamniadio","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-diamniadio-2798523","300","2 500 000 CFA","Vente Terrain 300 m² - Diamniadio","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-300m-diamniadio-2794751"
"1750583494-55","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 916 m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-916-m-almadies-2799458","916","900 000 CFA","Terrains 916 m²  - Almadies","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-916-m2-almadies-2510707"
"1750583496-56","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains - Dougar","https://sn.coinafrique.com/annonce/terrains/terrains-dougar-2799503","150","1 750 000 CFA","Terrains - Dougar","favorite_border 
      
    
            
              
              
            
            
              
               3 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m2-rufisque-3668856"
"1750583498-57","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 300 m2 - Saly  Carrefour","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-saly-carrefour-2799906","300 m2","10 000 000 CFA","Terrain 300 m2 - Saly  Carrefour","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-saly-carrefour-2799906"
"1750583501-58","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 500 m² - Saly","https://sn.coinafrique.com/annonce/terrains/terrain-500-m-saly-2799919","500 m2","21 000 000 CFA","Terrain 500 m² - Saly","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrains-500m-saly-carrefour-4647514"
"1750583503-59","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains - Bambilor","https://sn.coinafrique.com/annonce/terrains/terrains-bambilor-2800102","150 m2","8 000 000 CFA","Terrains - Bambilor","favorite_border 
      
    
            
              
              
            
            
              
               19 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-13ha-bambilor-5348720"
"1750583506-60","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 150 m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-keur-massar-2800133","","8 000 000 CFA","Terrain 150 m² - Keur Massar","favorite_border 
      
    
            
              
              
            
            
              
               4 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-cite-penitence-5174123"
"1750583508-61","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Somone","https://sn.coinafrique.com/annonce/terrains/terrain-somone-2800177","1000 m2","90 000 000 CFA","Terrain - Somone","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrain-mbour-4292792"
"1750583510-62","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 150 m² - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m-rufisque-2800255","150","5 000 000 CFA","Terrains 150 m² - Rufisque","favorite_border 
      
    
            
              
              
            
            
              
               6 
               jours","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-sangalkam-5376137"
"1750583513-63","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 1400 m2- Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-1400-m2-almadies-2800261","1400","600 000 CFA","Terrains 1400 m2- Almadies","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-1400-m2-almadies-2759380"
"1750583515-64","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 150 m2 - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150-m2-keur-massar-2800336","150","14 000 000 CFA","Terrain 150 m2 - Keur Massar","favorite_border 
      
    
            
              
              
            
            
              
               1 
               mois","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-keur-massar-5332984"
"1750583518-65","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Keur Massar extensions","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-extensions-2800598","150 m2","8 000 000 CFA","Terrain - Keur Massar extensions","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrains-150m-keur-massar-4747425"
"1750583520-66","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 151 m2 - Diamalaye","https://sn.coinafrique.com/annonce/terrains/terrains-151-m2-diamalaye-2800751","151","55 000 000 CFA","Terrains 151 m2 - Diamalaye","",""
"1750583522-67","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 150m² - Grand Medine","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-grand-medine-2800993","75 m2","4 500 000 CFA","Vente Terrain 150m² - Grand Medine","",""
"1750583525-68","https://sn.coinafrique.com/categorie/terrains?page=119","Vente terrains 180 m2 - Niaga","https://sn.coinafrique.com/annonce/terrains/vente-terrains-180-m2-niaga-2801430","180","Prix sur demande","Vente terrains 180 m2 - Niaga","",""
"1750583527-69","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 225m2","https://sn.coinafrique.com/annonce/terrains/terrains-225m2-2801434","225 m2","3 000 000 CFA","Terrains 225m2","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrain-225m-soune-serere-4748951"
"1750583530-70","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain  5 ha  - Saly","https://sn.coinafrique.com/annonce/terrains/terrain-5-ha-saly-2802065","50000 m2","Prix sur demande","Terrain  5 ha  - Saly","favorite_border 
      
    
            
              
              
            
            
              
               3 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-4-5-ha-diass-3353828"
"1750583532-71","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 10000 m2 - Mboro","https://sn.coinafrique.com/annonce/terrains/terrains-10000-m2-mboro-2802762","10000","Prix sur demande","Terrains 10000 m2 - Mboro","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-10000-m2-mboro-1543470"
"1750583534-72","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 225  m² - Pout","https://sn.coinafrique.com/annonce/terrains/terrains-225-m-pout-2802771","225","1 500 000 CFA","Terrains 225  m² - Pout","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-225-m-pout-2814879"
"1750583537-73","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 250 m2 - Ngor","https://sn.coinafrique.com/annonce/terrains/terrains-250-m2-ngor-2802789","250","90 000 000 CFA","Terrains 250 m2 - Ngor","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m-almadies-2076486"
"1750583539-74","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 257 m² - Mamelles Mbakiyou Faye","https://sn.coinafrique.com/annonce/terrains/terrain-257-m-mamelles-mbakiyou-faye-2803005","257","120 000 000 CFA","Terrain 257 m² - Mamelles Mbakiyou Faye","",""
"1750583542-75","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 6 ha - Nguoudiane","https://sn.coinafrique.com/annonce/terrains/terrain-6-ha-nguoudiane-2803046","600000 m2","Prix sur demande","Terrain 6 ha - Nguoudiane","",""
"1750583544-76","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 180 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-180-m2-rufisque-2803686","180","3 000 000 CFA","Terrains 180 m2 - Rufisque","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrains-180-m2-rufisque-1824136"
"1750583546-77","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain - Lac Rose","https://sn.coinafrique.com/annonce/terrains/terrain-lac-rose-2803699","200 m2","3 700 000 CFA","Terrain - Lac Rose","favorite_border 
      
    
            
              
              
            
            
              
               16 
               heures","https://sn.coinafrique.com/annonce/terrains/terrain-150m-dakar-5385725"
"1750583549-78","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 8700 m²  - Almadies","https://sn.coinafrique.com/annonce/terrains/terrains-8700-m-almadies-2803981","8700","3 480 000 000 CFA","Terrains 8700 m²  - Almadies","",""
"1750583551-79","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain 150m² - Medina","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-medina-2804245","150","90 000 000 CFA","Vente Terrain 150m² - Medina","",""
"1750583554-80","https://sn.coinafrique.com/categorie/terrains?page=119","Vente Terrain - Ouest foire","https://sn.coinafrique.com/annonce/terrains/vente-terrain-ouest-foire-2804782","200 m2","Prix sur demande","Vente Terrain - Ouest foire","favorite_border 
      
    
            
              
              
            
            
              
               5 
               années","https://sn.coinafrique.com/annonce/terrains/vente-terrain-ouest-foire-1991893"
"1750583556-81","https://sn.coinafrique.com/categorie/terrains?page=119","Terrains 10000 m²  - Diamniadio","https://sn.coinafrique.com/annonce/terrains/terrains-10000-m-diamniadio-2805165","10000","230 000 000 CFA","Terrains 10000 m²  - Diamniadio","favorite_border 
      
    
            
              
              
            
            
              
               4 
               années","https://sn.coinafrique.com/annonce/terrains/terrains-10000-m2-diamniadio-2972617"
"1750583559-82","https://sn.coinafrique.com/categorie/terrains?page=119","Terrain 500 m² - Saly","https://sn.coinafrique.com/annonce/terrains/terrain-500-m-saly-2805719","500 m2","25 000 000 CFA","Terrain 500 m² - Saly","favorite_border 
      
    
            
              
              
            
            
              
               1 
               année","https://sn.coinafrique.com/annonce/terrains/terrains-500m-saly-carrefour-4647514"
